Portal,Título,Resumo,Data,URL
Joven Pan,Juiz de Fora volta a registrar chuvas fortes; veja vídeos,"Município está em estado de calamidade desde a passagem de um temporal na Zona da Mata mineira, na segunda-feira (23)",2026-02-25 23:03:02,https://jovempan.com.br/noticias/brasil/juiz-de-fora-volta-a-registrar-chuvas-fortes-veja-videos.html
Joven Pan,"Minas tem risco de novas chuvas nesta semana, diz Inmet","Segundo instituto, a precipitação será superior a 60 milímetros por hora ou acima de 100 mm/dia; fevereiro é um dos meses mais chuvosos dos últimos anos no estado",2026-02-25 11:02:06,https://jovempan.com.br/noticias/brasil/minas-tem-risco-de-novas-chuvas-nesta-semana-diz-inmet.html
Joven Pan,Chuvas em Minas Gerais: número de mortos sobe para 49,"Chuvas que atingiram Juiz de Fora, Ubá e outros municípios da Zona da Mata também deixaram desaparecidos e centenas de pessoas resgatadas na região",2026-02-25 08:04:05,https://jovempan.com.br/noticias/brasil/chuvas-em-minas-gerais-numero-de-mortos-sobe-para-36.html
Joven Pan,"Entenda o que é ‘supercélula’, fenômeno que causou chuva extrema em MG","O evento climático pode gerar ventos fortes, granizo, chuvas intensas e tornados",2026-02-24 14:04:08,https://jovempan.com.br/noticias/brasil/entenda-o-que-e-supercelula-fenomeno-que-causou-chuva-extrema-em-mg.html
Joven Pan,Tempestade deixa mais de 300 pessoas desabrigadas no litoral de São Paulo,"Peruíbe é o município mais atingido, com 56 milímetros de água acumulados em um dia; não foram registradas vítimas",2026-02-24 11:02:02,https://jovempan.com.br/noticias/brasil/chuvas-litoral-sao-paulo.html
Joven Pan,Chuvas deixam ao menos 30 mortos em Minas Gerais; Juiz de Fora decreta calamidade,"Vinte e quatro mortes aconteceram em Juiz de Fora, e seis no município de Ubá",2026-02-24 08:01:02,https://jovempan.com.br/noticias/brasil/chuvas-deixam-mortes-na-zona-da-mata-juiz-de-fora-decreta-estado-de-calamidade.html
Joven Pan,Ubatuba decreta situação de emergência após chuvas no fim de semana,"Neste domingo, 15 famílias ficaram desabrigadas e outras 15 foram desalojadas",2026-02-23 14:00:06,https://jovempan.com.br/noticias/brasil/ubatuba-decreta-situacao-de-emergencia-apos-chuvas-no-fim-de-semana.html
Joven Pan,Defesa Civil instala gabinete de crise para enfrentar chuvas no litoral de SP,"Últimas 48 horas foram marcadas por altos índices de temporais, com destaque para Peruíbe, com 271 mm, e Ubatuba, com 235 mm",2026-02-23 09:02:01,https://jovempan.com.br/noticias/brasil/defesa-civil-instala-gabinete-de-crise-para-enfrentar-chuvas-no-litoral-de-sp.html
Joven Pan,Naufrágio provocado por chuva forte deixa dois mortos em Ubatuba,"Outras três pessoas foram resgatadas com vida próximo ao bairro de Ponta Grossa, segundo o Grupamento de Bombeiros Marítimo",2026-02-22 14:00:00,https://jovempan.com.br/noticias/brasil/naufragio-provocado-por-chuva-forte-deixa-dois-mortos-em-ubatuba.html
Joven Pan,Frente fria coloca estado de SP em alerta para chuvas fortes e risco de alagamentos,"De acordo com a Defesa Civil, previsão é de risco de granizo, alagamentos e deslizamentos entre essa quarta (18) e quinta-feira (19)",2026-02-18 08:03:06,https://jovempan.com.br/noticias/brasil/frente-fria-coloca-estado-de-sp-em-alerta-para-chuvas-fortes-e-risco-de-alagamentos.html
Joven Pan,Carnaval deve ter chuva e calor em grande parte do país,"Previsão indica chuva localizada principalmente à tarde, com temperaturas em elevação ao longo do dia",2026-02-13 13:03:09,https://jovempan.com.br/noticias/brasil/carnaval-deve-ter-chuva-e-calor-em-grande-parte-do-pais.html
Joven Pan,Defesa Civil coloca 45 cidades de SP em atenção para deslizamentos,Chuvas intensas nas últimas 72 horas saturaram o solo e elevaram o risco em áreas de encosta no estado,2026-02-10 12:04:08,https://jovempan.com.br/noticias/brasil/defesa-civil-coloca-45-cidades-de-sp-em-atencao-para-deslizamentos.html
Joven Pan,Inmet emite alerta de chuvas intensas para todas as regiões do Brasil,"De acordo com o instituto, em algumas áreas, o volume de precipitação pode chegar a 100 milímetros em 24 horas nesta segunda-feira (9)",2026-02-09 08:01:08,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-chuvas-intensas-para-todas-as-regioes-do-brasil.html
Joven Pan,Defesa Civil de SP mobiliza gabinete de crise após tempestades no estado,"Em São Carlos, em 24 horas, choveu o volume esperado para 24 dias; previsão indica manutenção do risco de alagamentos e deslizamentos entre este domingo (8) e segunda-feira (9)",2026-02-08 13:03:08,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-mobiliza-gabinete-de-crise-tempestades-no-estado.html
Joven Pan,Defesa Civil de SP alerta para risco de chuvas ‘fortes e persistentes’,"Alerta indica que, entre sábado (7) e segunda-feira (9), a previsão é de chuva persistente em todo o Estado e Gabinete de Crise será instalado em formato remoto.",2026-02-07 11:00:00,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-alerta-para-risco-de-chuvas-fortes-e-persistentes.html
Joven Pan,Inmet divulga alerta de perigo sobre chuvas intensas na Paraíba,"Em João Pessoa, na capital do estado, o registro foi de chuva acima da média histórica para todo o mês de fevereiro",2026-02-06 21:03:06,https://jovempan.com.br/noticias/brasil/inmet-divulga-alerta-de-perigo-sobre-chuvas-intensas-na-paraiba.html
Joven Pan,Frente fria provoca chuva e queda de temperaturas em SP e em outros Estados,"De acordo com informações da Climatempo, a combinação entre calor, umidade elevada e a aproximação da frente fria irão favorecer a ocorrência de pancadas de chuva moderadas a fortes, principalmente no período da tarde e da noite",2026-02-05 10:04:00,https://jovempan.com.br/noticias/brasil/frente-fria-provoca-chuva-e-queda-de-temperaturas-em-sp-e-em-outros-estados.html
Joven Pan,Defesa Civil de SP alerta para risco de tempestades nesta segunda-feira,"Alerta indica que a previsão é de pancadas de chuva persistentes, acompanhadas por raios, ventos e possibilidade de granizo até terça-feira (3)",2026-02-02 06:03:05,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-alerta-para-risco-de-tempestades-nesta-segunda-feira.html
Joven Pan,Ciclone extratropical intensifica chuvas em São Paulo nesta sexta-feira,Defesa Civil coloca em prática um plano de contingência e alerta para o risco de alagamentos e deslizamentos de terra,2026-01-30 10:01:04,https://jovempan.com.br/noticias/brasil/ciclone-extratropical-intensifica-chuvas-em-sao-paulo-nesta-sexta-feira.html
Joven Pan,SP entra em alerta para tempestades e risco de alagamentos nesta quinta-feira,"Previsão aponta chuva forte, granizo e rajadas de vento a partir da tarde; temperatura máxima deve cair para 25ºC na sexta-feira (30)",2026-01-29 13:00:01,https://jovempan.com.br/noticias/brasil/sp-entra-em-alerta-para-tempestades-e-risco-de-alagamentos-nesta-quinta-feira.html
